source_id,series_id,year,value,unit,status,scope_note
msmt_education_statistics_2024,education_profession_pedagogical,2020,192463.4,FTE,official,Regional education pedagogical workers by profession
msmt_education_statistics_2024,education_profession_pedagogical,2024,220607.0,FTE,official,Regional education pedagogical workers by profession
msmt_education_statistics_2024,education_profession_teachers,2020,145765.4,FTE,official,Teachers in regional education
msmt_education_statistics_2024,education_profession_teachers,2024,161069.0,FTE,official,Teachers in regional education
msmt_education_statistics_2024,education_profession_educators,2020,15671.1,FTE,official,Educators in regional education
msmt_education_statistics_2024,education_profession_educators,2024,17347.6,FTE,official,Educators in regional education
msmt_education_statistics_2024,education_profession_vocational,2020,5803.4,FTE,official,Vocational-training teachers in regional education
msmt_education_statistics_2024,education_profession_vocational,2024,6764.3,FTE,official,Vocational-training teachers in regional education
msmt_education_statistics_2024,education_profession_assistants,2020,19831.2,FTE,official,Teaching assistants in regional education
msmt_education_statistics_2024,education_profession_assistants,2024,28970.4,FTE,official,Teaching assistants in regional education
msmt_education_statistics_2024,education_profession_special,2020,1959.5,FTE,official,Special pedagogues in regional education
msmt_education_statistics_2024,education_profession_special,2024,2515.5,FTE,official,Special pedagogues in regional education
msmt_education_statistics_2024,education_profession_speech,2024,45.4,FTE,official,School speech therapists; first reported separately in 2024
msmt_education_statistics_2024,education_profession_psychologists,2020,1285.0,FTE,official,School psychologists in regional education
msmt_education_statistics_2024,education_profession_psychologists,2024,1608.3,FTE,official,School psychologists in regional education
msmt_education_statistics_2024,education_profession_coaches,2020,177.4,FTE,official,Coaches in regional education
msmt_education_statistics_2024,education_profession_coaches,2024,194.7,FTE,official,Coaches in regional education
msmt_education_statistics_2024,education_profession_other,2020,1970.3,FTE,official,Other pedagogical workers in regional education
msmt_education_statistics_2024,education_profession_other,2024,2091.7,FTE,official,Other pedagogical workers in regional education
msmt_education_statistics_2024,education_profession_nonpedagogical,2020,76735.9,FTE,official,Non-pedagogical workers in regional education
msmt_education_statistics_2024,education_profession_nonpedagogical,2024,80441.0,FTE,official,Non-pedagogical workers in regional education
msmt_education_statistics_2024,education_profession_pedagogical_wage,2024,47100,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_teachers_wage,2024,50651,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_educators_wage,2024,41381,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_vocational_wage,2024,45327,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_assistants_wage,2024,31129,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_special_wage,2024,48093,CZK_month,official,Average gross monthly wage or salary
msmt_education_statistics_2024,education_profession_speech_wage,2024,48765,CZK_month,official,Average gross monthly wage or salary
