druh_duchodu_kod,druh_duchodu,pohlavi_kod,pohlavi,referencni_obdobi,vyse_duchodu_kod,vyse_duchodu,pocet_nove_priznanych_duchodu
PK_D,Sirotčí důchod,T,Celkem,2010,I6000T6199,6000-6199,337.0
PK_D,Sirotčí důchod,T,Celkem,2010,I6200T6399,6200-6399,319.0
PK_D,Sirotčí důchod,T,Celkem,2010,I6400T6599,6400-6599,298.0
PK_D,Sirotčí důchod,T,Celkem,2010,I6600T6799,6600-6799,240.0
PK_D,Sirotčí důchod,T,Celkem,2010,I6800T6999,6800-6999,159.0
PK_D,Sirotčí důchod,T,Celkem,2010,I7000T7199,7000-7199,86.0
PK_D,Sirotčí důchod,T,Celkem,2010,I7200T7399,7200-7399,51.0
PK_D,Sirotčí důchod,T,Celkem,2010,I7400T7599,7400-7599,29.0
PK_D,Sirotčí důchod,T,Celkem,2010,I7600T7799,7600-7799,30.0
PK_D,Sirotčí důchod,T,Celkem,2010,I7800T7999,7800-7999,15.0
PK_D,Sirotčí důchod,T,Celkem,2010,I8000T8199,8000-8199,16.0
PK_D,Sirotčí důchod,T,Celkem,2010,I8200T8399,8200-8399,3.0
PK_D,Sirotčí důchod,T,Celkem,2010,I8400T8599,8400-8599,7.0
PK_D,Sirotčí důchod,T,Celkem,2010,I8600T8799,8600-8799,1.0
PK_D,Sirotčí důchod,T,Celkem,2010,I8800T8999,8800-8999,6.0
PK_D,Sirotčí důchod,T,Celkem,2010,I9000T9199,9000-9199,1.0
PK_D,Sirotčí důchod,T,Celkem,2010,I9200T9399,9200-9399,2.0
PK_D,Sirotčí důchod,T,Celkem,2010,I9400T9599,9400-9599,0.0
PK_D,Sirotčí důchod,T,Celkem,2010,I9600T9799,9600-9799,1.0
PK_D,Sirotčí důchod,T,Celkem,2010,I9800T9999,9800-9999,2.0
PK_D,Sirotčí důchod,T,Celkem,2010,I_GE14500,14500+,2.0
PK_D,Sirotčí důchod,T,Celkem,2010,I_T,Celkem,4503.0
PK_D,Sirotčí důchod,T,Celkem,2010,I_X,Neudáno,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I10000T10199,10000-10199,3.0
PK_D,Sirotčí důchod,T,Celkem,2011,I10200T10399,10200-10399,0.0
PK_D,Sirotčí důchod,T,Celkem,2011,I10400T10599,10400-10599,1.0
PK_D,Sirotčí důchod,T,Celkem,2011,I10600T10799,10600-10799,0.0
